question_id,answer
393274002," Yes, it is at the station.
"
393274003," A train is on the tracks.
"
393274004," The train is on the tracks.
"
393274005," No, there is no smoke coming out of the train
"
393274006," Yes, it is in a rural setting.
"
393274007," Yes, the train tracks are clear.
"
131131000," A cat.
"
131131001," The cat is looking at the cat on the tv
"
131131002," Two cats are in the image.
"
393277000," Yes, there are tour buses in this image.
"
393277001," A clock tower
"
393277002," Yes, the cars are facing the same direction
"
393277003," The car is a 2001
"
393277004," The sky is blue.
"
393277005," It is 6:30pm
"
393277006," Yes, there are a lot of people milling around.
"
393277007," Yes, it is a large building.
"
393277008," The weather is cloudy and rainy.
"
393277009," The building is a clock tower
"
393277010," It is 6:30 in the morning.
"
393277011," Yes, it does rain a lot here.
"
393277012," The clock tower of a city hall
"
393277013," No, it is a clock tower.
"
393277014," Yes, it is a one way street.
"
393277015," The building is a clock tower.
"
393277016," A clock tower
"
393282000," No, the giraffe is a grown giraffe.
"
393282001," Two giraffes are standing in the grass
"
393282002," Yes, the animals are in the shade.
"
393282003," Two giraffes can be seen in the image.
"
393282004," Yes, they are in the wild.
"
393282005," The giraffes are standing in the open pavilion.
"
393282006," No, they are just standing in the grass.
"
393282007," Yes, there is a body of water in the picture.
"
393282008," The giraffe is standing in front of the other giraffe
"
393282009," Two giraffe are pictured.
"
393282010," In a zoo.
"
393282011," Two giraffes standing in a field
"
393284000," No, this is a snow scene.
"
393284001," A snowboard
"
393284002," He is doing a trick on his snowboard
"
393284003," Snowboarding
"
393284004," Yes, he is snowboarding.
"
393284005," Yes, there is snow on the trees.
"
393284006," Yes, he is flying.
"
393284007," Yes, he is flying off of the ski slope.
"
393284008," A red jacket and yellow pants
"
393284009," He is doing a trick on his snowboard
"
393284010," The snowboarder is doing a trick
"
393284011," Yes, he is going to land.
"
393284012," Snowboarding
"
393284013," A snowboarder in mid-air
"
393284014," Yes, he is wearing goggles.
"
393284015," Red
"
393288000," This is a church
"
393288001," Red
"
393288002," Red
"
393288003," The cars are parked in front of the church
"
393288004," A church
"
524361000," It is in the nest.
"
524361001," One bird.
"
524361002," The bird is a baby bird.
"
74000," Yes, it does.
"
74001," On the sidewalk
"
74002," Sleeping on the sidewalk
"
131152000," No, they are not wearing a wetsuit.
"
131152001," The waves are small and the surfers are having fun
"
131152002," One person is surfing on a surfboard.
"
131152003," Yes, they are wet.
"
262227000," Yes, there are pill bottles.
"
262227001," A sign that says ""Welcome to the office of...""
"
262227002," Yes
"
262227003," The ribbon is blue
"
262228000," Brick
"
262228001," The bicycles are chained to the bike racks to prevent theft
"
262228002," Bicycles
"
262228003," No, they are bicycles.
"
262228004," On the sidewalk in front of a building
"
262228005," A bicycle rack.
"
262229000," A girl kicking a soccer ball
"
262229001," Soccer
"
262229002," No, they are not professionals.
"
262229003," There are four babies in this image.
"
262229004," The image is of a group of girls playing soccer
"
262229005," The girls are playing soccer
"
262229006," A game of soccer
"
131159000," In the car.
"
131159001," Yes, the bear is real.
"
131159002," Yellow
"
262235000," She is smiling
"
262235001," A woman talking on a cell phone
"
262235002," White
"
262235003," A cell phone
"
262235004," The woman is smiling
"
262235005," Woman
"
262235006," She is talking on the phone.
"
524382000," Beagles.
"
524382001," The dogs are in a pen.
"
524382002," Yes, all the dogs are looking in the same direction.
"
262242000," The tennis ball
"
262242001," A tennis ball
"
262242002," Yes, he does.
"
262242003," Green
"
262242004," No, they are not tired.
"
262242005," Yes, the court is blue.
"
262242006," Yes, he is playing doubles
"
262242007," Yes, both men are wearing hats.
"
262242008," Yes, they are professional tennis players.
"
131171000," Yes, it is a sandwich.
"
131171001," Two.
"
131171002," Yes, it does. The sandwich is a hot dog, the grapes are grapes, and the meat is salami.
"
262161000," Two
"
262161001," Yes, it is a new bike.
"
262161002," Yes, the grass is bright green.
"
262161003," A motorcycle
"
262161004," The number is the year of manufacture of the motorcycle.
"
262161005," The number is the year of manufacture of the motorcycle.
"
262161006," Ducati
"
262161007," Silver
"
262161008," The bike in the foreground has a single seat.
"
262161009," No, the motorcycle is parked in the grass.
"
262161010," The motorcycle is parked on the grass.
"
262161011," Silver
"
262161012," Two
"
262161013," Ducati
"
262161014," Yes, it travels often.
"
262161015," Silver
"
262161016," A motorcycle show.
"
262161017," Yes, it is propped up.
"
262161018," 1
"
262161019," Ducati motorcycle
"
262161020," Yes, they are the same size.
"
524392000," Silver
"
524392001," Yes, the light is on.
"
524392002," It is a refrigerator.
"
262262000," Yes, the time is correct.
"
262262001," Yes, it is an overcast day.
"
262262002," This is a clock tower.
"
393338000," Red and yellow
"
393338001," Red and yellow tulips.
"
393338002," The vase is yellow and red.
"
262274000," Lifeguard
"
262274001," Lifeguard
"
262274002," Lifeguard
"
262274003," Lifeguard
"
262274004," No.
"
262274005," Yes, it is low tide.
"
262274006," Yes, there are palm trees on the board.
"
262274007," No, it is not cloudy.
"
262275000," She is about 4 years old
"
262275001," The horse is brown
"
262275002," Yes, she is sitting on the horse correctly
"
262275003," Yes, it is an English saddle.
"
262275004," A helmet
"
133000," White
"
133001," Yes, it is a child room.
"
133002," A twin mattress would be fine for this bed.
"
131207000," Two birds standing on a dock
"
131207001," Two birds standing on a dock
"
131207002," Yes, they are.
"
131207003," Yes, the water looks calm.
"
131207004," White
"
131207005," Two egrets standing on a dock
"
131207006," The bench is white.
"
131207007," No, these are two egrets standing on a dock
"
136000," Yes, it is in a museum.
"
136001," Two giraffes
"
136002," A giraffe
"
139000," She is preparing a meal.
"
139001," One.
"
139002," Yellow
"
139003," The flower is yellow
"
262284000," None.
"
262284001," A bathroom with a shower and a bathtub
"
262284002," No, the floor is level.
"
262284003," This is a bathroom.
"
143000," The birds are brown.
"
143001," There are six birds in the tree.
"
143002," The birds are black.
"
240323000," Yes, there is meat on this plate.
"
240323001," Yes, it is a vegetarian meal.
"
240323002," Carrot
"
524436000," Yes, there is a woman sitting on this bench
"
524436001," On a bench in a city
"
524436002," Yes, there are cars in the picture.
"
524436003," A bench
"
524436004," No, it is not raining.
"
524436005," Yes, they are a couple.
"
393372000," Yes, it is blue.
"
393372001," No, they are not visible.
"
393372002," No, she is wearing a tie.
"
393372003," Purple
"
393372004," No.
"
393372005," Male
"
393372006," It is a woman with purple hair and a tie
"
393372007," A nose ring
"
393372008," The left ear
"
393372009," No.
"
393372010," Purple
"
393372011," A black shirt with a polka dot tie
"
393372012," Purple
"
393372013," Purple
"
393372014," The man's purple hair and tie.
"
393372015," The woman's hair is straight
"
393372016," No, she is wearing a tie and a purple shirt
"
393372017," Yes
"
393372018," No.
"
393372019," Yes, the person has a nose piercing
"
393372020," She is looking at the camera.
"
393372021," No.
"
393372022," No.
"
524450000," A bus with a large advertisement on the side of it
"
524450001," The bus is parked in a parking lot.
"
524450002," No, this is a bus.
"
524450003," No, they are going to board a bus.
"
524450004," A bus with a large advertisement on the side
"
524450005," The bus is silver
"
524450006," The bus is parked in a parking lot.
"
524450007," The bus is parked in a parking lot.
"
524450008," The bus is silver
"
524450009," A bus parked in a parking lot
"
524450010," Yes, there are people inside the bus.
"
524450011," Yes, it is a tour bus.
"
524450012," The man holding is holding a large bus
"
524450013," Yes, it is parked in a parking space
"
524450014," It is a sunny day.
"
524450015," One person is boarding the bus.
"
524450016," Yes, there are people getting off the bus.
"
524450017," It is sunny and warm.
"
524450018," Yes, there is a container available for trash.
"
524450019," The bus parked in the parking lot
"
524450020," The streets are made of concrete.
"
524450021," The camper is silver
"
524450022," Yes, the bus lights are on at bottom
"
524450023," A bus
"
524450024," In a parking lot
"
164000," One.
"
164001," White
"
164002," Yes, the light is on.
"
164003," White
"
524456000," Two
"
524456001," Yes, the person working on the computer has a car
"
524456002," Yes, she is married.
"
524459000," A man in a red shirt is using a laptop computer
"
524459001," He is using a laptop computer
"
524459002," No, he is working on his laptop
"
436936000," One animal is visible in the image.
"
436936001," The animal is on a tree branch
"
436936002," A bear is climbing a tree
"
262323000," The giraffe is looking at the camera.
"
262323001," The giraffe and the ostrich are both standing in a grassy area
"
262323002," One giraffe, one ostrich, and one rock
"
262323003," Yes, the giraffes head is small.
"
262325000," The vegetables are green.
"
262325001," No, this is a healthy snack.
"
262325002," Yes, they are cooked.
"
262325003," Broccoli and carrots in a white bowl
"
262334000," Yes
"
262334001," A hat.
"
262334002," Inside
"
262334003," Wood
"
192000," Baseball
"
192001," Yes, he is wearing a catcher's mask
"
192002," The Chicago Cubs
"
393410000," No, this is a jet plane flying in the sky
"
393410001," The plane is flying in the sky.
"
393410002," No, this was taken at sunrise.
"
393410003," No, it is still bright out.
"
393410004," The plane is white.
"
393410005," A plane.
"
393410006," No, there are no clouds in the sky
"
393410007," No, the plane is flying too high.
"
393410008," The sky is blue.
"
393410009," Yes, there is a seagull in the image.
"
393410010," A plane flying in the sky.
"
393411000," Yes, the door is closed.
"
393411001," The train is a red train with graffiti on it
"
393411002," Graffiti
"
196000," A turkey, mashed potatoes, corn, carrots, peas, and a salad
"
196001," Yes, there are lots of healthy options on the table
"
196002," A lot of food on the table
"
196003," The picture shows a table with a lot of food on it.
"
196004," Yes, it is going to be a feast.
"
131273000," Husky
"
131273001," The dog is looking at the person sitting in the car
"
131273002," The door window is open.
"
262347000," Yes, this is a farmers market.
"
262347001," No, there is a bench in the garden.
"
262347002," A bench and flowers
"
262347003," Yes, there is a bench in the garden.
"
131276000," No, there are two women and one man in the picture.
"
131276001," Three
"
131276002," Doughnuts
"
393421000," The bedroom of a hotel room
"
393421001," One suitcase is shown in the image.
"
393421002," Yes, it is a hotel room.
"
393421003," The light is coming from the wall behind the suitcase
"
393421004," Yes, it does.
"
393421005," The carpet is brown
"
393423000," Two giraffes standing in a field
"
393423001," They are in the middle of the field.
"
393423002," No, they are in the wild.
"
393423003," Two giraffes standing in a field
"
393423004," Two giraffes are in this photo.
"
393423005," This is a scene of two giraffes in a field.
"
393423006," They are standing in a field.
"
393423007," Two giraffes in the horizon
"
131280000," Blue
"
131280001," Three teams are visible in the image.
"
131280002," Yes, it is a baseball field.
"
262353000," There are four people in the picture.
"
262353001," Yes, he is.
"
262353002," Yes, they do.
"
131282000," ""Protein""
"
131282001," Yes, the food on the plate is vegetables.
"
131282002," Yes, she does.
"
131282003," The sauce is red.
"
131282004," No, it has not been fried.
"
524502000," The red object in this picture is a fire hydrant
"
524502001," Red
"
524502002," It is a fire hydrant.
"
524502003," No, there is no snow in this image.
"
262360000," Yes, it is a glass flower vase.
"
262360001," The vase is pink.
"
262360002," Carnations
"
262360003," The flower is pink.
"
262360004," No, they are alive.
"
262360005," No, this is not edible.
"
524507000," Yes, but only if you have a blue umbrella
"
524507001," English
"
524507002," Yes, it will.
"
131295000," Two trains are on the tracks.
"
131295001," Yes, it is in the city.
"
131295002," From above the train is on the tracks
"
131295003," Yes, the train is moving fast
"
131295004," A train
"
131295005," The person that drives this is the person that is driving the train.
"
262371000," Yes, he is ready for bed.
"
262371001," On top of the suitcase
"
262371002," A black bag on the floor
"
262371003," A cat
"
262371004," He is in a good mood.
"
262371005," The cat is looking at the camera.
"
262371006," One cat.
"
262376000," Yes, they are.
"
262376001," There are four upside-down umbrellas visible in the image.
"
262376002," Yes, it is a big building.
"
241000," A wii remote
"
241001," Anger, sadness, and happiness
"
241002," A man standing on a wii game board
"
241003," Yes, they are brothers.
"
241004," Red
"
262386000," One.
"
262386001," A toilet.
"
262386002," Yes.
"
262386003," The person who is in the bathroom.
"
262386004," Yes, they can be used right where they are.
"
262386005," Yes, there is a shelf above the toilet
"
262386006," Yes, it is in the floor.
"
262386007," The bathroom is white.
"
262386008," No, it is a toilet with a seat that is open.
"
262386009," The toilet is real and the toilet paper is a model
"
262386010," None.
"
262386011," The photographer.
"
262386012," The toilet is electric.
"
262386013," No, it is clean.
"
262386014," The photographer.
"
262386015," Yes, the toilet is complete.
"
262386016," Yes, there is toilet paper in the bathroom.
"
262386017," A toilet and a roll of toilet paper
"
262386018," No, the floor is clean.
"
262386019," The wall is white.
"
262386020," No, it does not have a lit.
"
262386021," Yes, there is a fire extinguisher in the bathroom
"
262386022," Yes, it is a private bathroom
"
262386023," Under
"
262386024," Yes, there is a toilet brush in the bathroom
"
262386025," Yes, the toilet is clean.
"
262386026," No, the floor is dry.
"
262386027," Yes, they can.
"
262386028," It is a toilet made out of a white porcelain
"
262386029," Yes
"
262386030," Yes, the bathroom is clean.
"
262386031," Yes, there is a mirror in the bathroom
"
262386032," The toilet is made of porcelain
"
262386033," White
"
262386034," No, it is clean.
"
262386035," One.
"
262386036," Yes, it is.
"
262386037," The floor is white.
"
262386038," The toilet is white.
"
262386039," Yes, the toilet has a lid.
"
262386040," To hold toilet paper.
"
262386041," Yes, there are tiles on the wall.
"
262386042," Two.
"
524533000," The bus is advertising the outlook tour.
"
524533001," No, it looks very nice.
"
524533002," A flag
"
262391000," Yes, the curtains are open.
"
262391001," No, the curtains are just right for the windows.
"
262391002," A television
"
262391003," No, the curtains are just right.
"
262391004," The door is a light blue color
"
262391005," Two people are in the room.
"
262391006," Yes, it is a television screen.
"
524536000," He is tying his tie.
"
524536001," Yes, he is happy.
"
524536002," Yes, he is.
"
524536003," No, he is holding a tie.
"
524536004," The man in the center of the photo is a politician.
"
524536005," The man is attending a wedding
"
524536006," Yes, he is dressed casually.
"
510657000," Yes, they are all smiling.
"
510657001," Six of the men are wearing glasses.
"
510657002," Six glasses of wine and beer
"
510657003," Six people are sitting at a table with a plate of food and drinks.
"
510657004," The pattern is a flower.
"
510657005," The light from the ceiling is shining on the people sitting at the table.
"
510657006," Six people are sitting at the table.
"
262396000," A chair with a black and white fur coat
"
262396001," The cat is shedding a lot of fur.
"
262396002," No, the cat is sitting on the chair.
"
393469000," Yes, it is cold.
"
393469001," Yes, there are deciduous trees.
"
393469002," Brown
"
257000," The car is red
"
257001," Yes, there is an ice cream truck in the image
"
257002," Yes, it is daytime.
"
257003," Yes, the dog is real.
"
257004," The shoe company is called ""Shoe Carnival""
"
257005," Red
"
262404000," Green
"
262404001," Children
"
262404002," The mouth of the child who is eating the cake
"
393478000," Green and yellow
"
393478001," Yes, the train is passing through a snowy area
"
393478002," Yes, there is snow on the ground.
"
393478003," Yes, the cars are driving through a tunnel.
"
131335000," Yes, they are.
"
131335001," Yes, this is an American city.
"
131335002," Yes, the man's head is covered.
"
131335003," The Grand Theatre
"
131335004," Yes, there is a flag in this picture.
"
524333000," Wood
"
524333001," Yes, he is balding.
"
524333002," Yes, they are learning to eat together.
"
524333003," Yes, the lights are on.
"
524333004," Yes, they are in a restaurant
"
524333005," Six
"
262425000," No, it is cloudy.
"
262425001," No, the seagull is not in danger of getting entangled in these boat sails.
"
262425002," Yes, it is a nice day.
"
262425003," Yes, it is a seagull.
"
262425004," The seagull is flying over the boat.
"
283000," The brand of wine is called ""Pair of Chardonnay""
"
283001," A glass of wine and a bottle of wine
"
283002," Glass and a bottle of wine.
"
283003," A glass of wine and a bottle of wine
"
283004," A bottle of wine and a glass of wine
"
283005," The chair is a gray color.
"
283006," Yes, it is a high quality bottle of wine.
"
285000," Yes, the bear is sitting
"
285001," Yes, it is daytime.
"
285002," Yes, the bear is looking at the camera
"
524575000," No, it is not cold.
"
524575001," Yes, the animals live in the cave.
"
524575002," Yes, all the trees have leaves.
"
524575003," A buffalo
"
524577000," This is a street in a city.
"
524577001," Yes, the numbers on the clock are Roman numerals
"
524577002," It is morning.
"
524577003," The clock says 12:30
"
524577004," The building is a brick building with a clock on the side of it
"
524577005," It is time for a walk.
"
524577006," 1
"
524577007," The clock says 11:00
"
524577008," The clock on the building says 5:30
"
524577009," The clock reads 12:00
"
524577010," Yes, there is a clock tower in the photo.
"
524577011," This is a street scene in a city.
"
524577012," It is am.
"
524577013," The clock is showing the time of day.
"
524577014," Yes, this is in a large city.
"
524577015," Yes, it is a tower clock.
"
524577016," The clock on the building says 12:00
"
524577017," The clock is on the building.
"
524577018," It is made of brick.
"
524577019," The building on the right is a two story building
"
524577020," It is 2:00 PM
"
524577021," The building is a brick building with a clock on it
"
524577022," The tower is white.
"
524577023," One clock is shown.
"
524577024," On the side of the building
"
524577025," Yes, it does.
"
524577026," English
"
524577027," The numbers are the hours of the day.
"
524577028," Yes, the numbers are in Roman numerals.
"
524577029," One.
"
294000," Yes, it is the kitchen.
"
294001," Pot holders
"
294002," Yes, they are.
"
294003," Grey
"
294004," The pots and pans hanging on the wall
"
294005," Yes, it is a home kitchen
"
294006," Yes, they are.
"
294007," Grey
"
294008," One.
"
294009," The hand is pointing to the pots and pans hanging on the wall
"
294010," Yes, he is cooking at home.
"
294011," A man in a kitchen
"
294012," A kitchen
"
294013," The man on the right appears to be a white male
"
294014," A man holding a pot and a knife
"
294015," One.
"
393511000," Yes, they are dining together.
"
393511001," Soup
"
393511002," Yes, there are toothpicks on the table.
"
262440000," The toilet seat is up.
"
262440001," White
"
262440002," White tile
"
262440003," Two.
"
262440004," White
"
262440005," Yes, the walls are tiled.
"
262440006," Yes, it is modern.
"
262440007," No, it is white.
"
262440008," No, there is no TV in this room.
"
262440009," No, they are white.
"
262440010," White
"
262440011," Yes, the faucet is visible in this picture.
"
262440012," None
"
262440013," A bathroom
"
393513000," Yes, he is skating on a fence.
"
393513001," Yes, it is sunny.
"
393513002," The sun is shining from the sky
"
393513003," Yes, it is warm in this photo.
"
393513004," The giraffe is doing a trick on a skateboard
"
393513005," A hat.
"
393523000," No, the water is too deep.
"
393523001," No, no one is crossing the bridge.
"
393523002," No, it is not cloudy.
"
393523003," This is the city of london, england
"
393523004," Yes, it is a bus crossing the bridge.
"
524601000," Red
"
524601001," Yes, they are.
"
524601002," The wii
"
524601003," Four people standing in a living room with a ceiling fan
"
524601004," No, they are playing a video game.
"
524601005," The game is called ""Wii Sports""
"
524601006," Yes, they are college students.
"
524601007," Three
"
524601008," Three
"
524601009," Playing video games
"
524601010," No, they are not wearing ties.
"
524601011," Yes, it is indoors.
"
524601012," Three people are playing the video game wii
"
131386000," Blue, yellow, and black.
"
131386001," Four airplanes are in the picture.
"
131386002," Yes, they are fast.
"
262460000," A pile of shirts and ties.
"
262460001," A tie.
"
262460002," Yes, it was picked out.
"
131390000," Yes, it is afternoon.
"
131390001," Yes, it is relaxing.
"
131390002," A herd of cattle
"
131390003," A herd of cattle.
"
262466000," Yes, they are fresh.
"
262466001," A vase with a bunch of flowers in it
"
262466002," The intersection of the two walls shown in the scene is called a ___________.
"
262466003," Yes, there are roses in the picture.
"
262466004," The walls are blue.
"
262466005," The wall behind the vase is blue
"
262466006," The twine is red.
"
524611000," One.
"
524611001," The building on the right hand side of the picture is a water tower.
"
524611002," ""Drayton Junction""
"
524611003," No, it is carrying oil.
"
524611004," The train's shadow appears to be on the right side of the train
"
524611005," This is a train traveling through a junction
"
524611006," No, this is a train on a track.
"
524611007," A train with a water tower in the background
"
262471000," No, the grass is not mowed.
"
262471001," Stop
"
262471002," A building with green trim
"
262471003," This is a residential area
"
262471004," The street sign says ""stop""
"
262471005," Yes, it is an unusual street name
"
262471006," It says ""stop""
"
262471007," Yes, it is in English.
"
262471008," A stop sign and street signs
"
328000," A bench
"
328001," The three men are in uniform and are sitting on a bench
"
328002," The three men are from the United States Army
"
21900000," The rider is a child.
"
21900001," Yes, the gate is on hinges.
"
21900002," Yes, the horse is jumping.
"
21900003," No, he is not wearing a helmet.
"
21900004," White
"
393547000," No, the cat is looking at the reflection of the cat in the mirror.
"
393547001," The cat is sitting on the table.
"
393547002," Orange and white
"
262476000," Yes, they are having a party.
"
262476001," Three people
"
262476002," Three
"
524621000," Two giraffes
"
524621001," Yes, they are wild animals.
"
524621002," No, they are not eating.
"
524621003," The giraffes are male.
"
524621004," This is a young giraffe.
"
524621005," No, this is a natural exhibit.
"
524621006," No, they cannot fly.
"
524621007," Two giraffes
"
524621008," Two giraffes
"
524621009," This is a giraffe.
"
524621010," Yes, one giraffes head is out of view.
"
524621011," No, there is not water in this photo.
"
524621012," No, they are not.
"
524621013," No, it does not have tusks.
"
524621014," They are looking at the camera.
"
524621015," Yes, there are two different types of animal.
"
524621016," No, this is a safari.
"
524621017," Two giraffes
"
524621018," Two giraffes
"
524621019," Two giraffes
"
524621020," No, the giraffe is not carrying any passengers.
"
524621021," Two giraffe's are in the shot.
"
524621022," Two giraffes
"
524621023," No, the animal is in the wild.
"
524621024," Animal, vegetable or mineral?
"
524621025," Two giraffes are standing in the grass.
"
524621026," Two
"
524621027," The giraffe has a triangular head and a long neck.
"
524621028," The giraffe is looking at the camera.
"
524621029," Yes, the giraffe is standing up.
"
338000," No, this is a kitchen.
"
338001," It's time for lunch.
"
338002," He is preparing food for the woman in the kitchen
"
524627000," Yes, there are a few teenagers in the picture.
"
524627001," Yes, there is a boy with long hair.
"
524627002," The kind that are made with a lot of sugar.
"
393557000," Two zebras are present in the image.
"
393557001," No, they are just standing next to each other
"
393557002," The zebra is black and white.
"
262487000," White
"
262487001," White
"
262487002," He is the catcher
"
131416000," A sandwich.
"
131416001," The top of the sandwich is sticking through the top of the sandwich
"
131416002," It is lettuce.
"
131416003," A can of soda and a sandwich cut in half
"
131418000," No, this is a black and white photograph.
"
131418001," Three people are walking with umbrellas.
"
131418002," Yes, they can get into the building.
"
546191000," Yes, he is flying a kite.
"
546191001," No, the moon is not visible in the photo.
"
546191002," One person is in the picture.
"
546191003," Yes, it is the letter D in the air
"
546191004," Yes, the water is calm.
"
524637000," A toilet with the lid up
"
524637001," No, there are not magazines on the toilet tank.
"
524637002," The tiles are a checkered pattern.
"
524637003," A toilet
"
524637004," The floor is tiled.
"
524637005," Yes, the toilet is clean.
"
524637006," Yes, it is a dormitory restroom
"
524637007," The toilet seat.
"
524638000," Yes, there is a boy in the image.
"
524638001," Yes, he is dressed for sports.
"
524638002," Green
"
524638003," A frisbee
"
393569000," Yes, the bathroom is clean.
"
393569001," This is taken in a dorm room
"
393569002," A laptop computer
"
524642000," Yes, the room is cluttered.
"
524642001," Two
"
524642002," Africa
"
524642003," A lamp, a table, a couch, a bookcase, a lamp, a book, a lamp, a book, a lamp, a book"
524642004," Yes, the lamp is turned on.
"
524642005," There are about a thousand books in this room.
"
524642006," The lamp would be good for helping a person do what while relaxing on the chair?
"
357000," The men in black are the players on the baseball field.
"
357001," Yes, it is a professional game
"
357002," The batter is likely to hit a home run
"
359000," Black and white
"
359001," Yes, it is a city.
"
359002," Yes, it is completely visible.
"
360000," Yes, there are trees visible in the image.
"
360001," The person is doing a snowboard trick
"
360002," Yes, they are on.
"
262505000," Yes, they are.
"
262505001," Two cars and a truck
"
262505002," No, it is not cloudy.
"
262505003," Yes, it is a busy street
"
262505004," Two
"
262505005," Yes, they are at an intersection
"
393578000," No, it is a bus.
"
393578001," Yes, it is night.
"
393578002," The bus is full.
"
262509000," Yes, they are seaworthy.
"
262509001," The building with the clock tower
"
262509002," Yes, there is a boat on the water.
"
262509003," Yes, the water is clear.
"
262509004," One
"
262509005," The boat is going to the city
"
262509006," Yes, the river is clear.
"
262509007," The bimini is blue.
"
262509008," Yes, it does look crowded.
"
262509009," In the water near the buildings
"
393583000," Stop
"
393583001," A car.
"
393583002," This is taken in the United Arab Emirates
"
393583003," Red
"
393583004," No, this picture was taken in the United Arab Emirates.
"
524656000," In the kitchen.
"
524656001," Yes, they are hand washed here.
"
524656002," No, the cabinets are opaque.
"
568040000," Yes, the trunk is curled.
"
568040001," The animal has a coat of fur.
"
568040002," Yes, they do.
"
568040003," An elephant and a baby elephant are walking in a field
"
568040004," Yes, they are living in the wild.
"
568040005," Yes, the mountains are in the background
"
568040006," Two elephants in the grassy field
"
262514000," Yes, it is ready to use.
"
262514001," Yes, she is dark haired.
"
262514002," Toilet and sink
"
262514003," Yes, there is running water in this toilet.
"
131444000," No.
"
131444001," The man's handkerchief is blue
"
131444002," Yes, I like his tie.
"
43753000," The man is wearing a white shirt.
"
43753001," A banana.
"
43753002," In a factory.
"
43753003," The man is saying ""I don't want to be touched.""
"
43753004," No, he is not happy.
"
43753005," A banana.
"
43753006," A banana.
"
43753007," No, he is not in real danger.
"
524665000," The subject is standing next to a dog with a backpack
"
524665001," Yes, it looks dry.
"
524665002," This is a dog
"
262522000," No, this is a sunset.
"
262522001," Yes, it is tall.
"
262522002," Yes, this was taken at night.
"
131453000," No, these are called elephants.
"
131453001," No, only the two young elephants have tusks.
"
131453002," The mother and baby elephants are in the lead
"
131453003," The background is not focused in this picture.
"
131453004," No, they are walking.
"
262531000," Yes, the skater is being watched by a person on a skateboard
"
262531001," He is skateboarding down the street
"
262531002," The skateboarder
"
262531003," The railing is a dark blue
"
262531004," The couch is blue
"
262531005," Yes, there are cars in the image.
"
262531006," The man hitting with the racket is a skateboarder
"
